forecast_date,horizon_weeks,target_week_start,p10,p50,p90
2025-12-08,1,2025-12-15,4.924494564996221,5.091131614818092,5.164423318671641
2025-12-08,2,2025-12-22,5.001335623246535,5.157443687781873,5.246566207332725
2025-12-08,3,2025-12-29,4.989867284119877,5.161094619417795,5.308069718235435
2025-12-08,4,2026-01-05,4.949954345592097,5.268364405614568,5.376839457765323
2025-12-08,5,2026-01-12,5.0967766531663266,5.219237937290422,5.472571240787167
2025-12-08,6,2026-01-19,5.126898710852036,5.323613019769234,5.550891955729835
2025-12-08,7,2026-01-26,5.250611650655952,5.4154302335175215,5.509417610490124
2025-12-08,8,2026-02-02,5.060471566913064,5.437845669527869,5.511502841245571
2025-12-08,9,2026-02-09,5.258405484404331,5.479303991542363,5.5672884101371345
2025-12-08,10,2026-02-16,5.234592234344129,5.483794280429418,5.5163399923722185
2025-12-08,11,2026-02-23,5.0853981625998355,5.501292374293993,5.610368378619983
2025-12-08,12,2026-03-02,5.088069103601609,5.580878173205255,5.616656012477711
2025-12-08,13,2026-03-09,5.275946822768283,5.5908268672838215,5.620752038267079
